idx,lat,lon,n,e
143,63.41970185,10.40234362,9.279995627456023,27.142472280617906
224,63.41992748,10.40206095,34.43089181999495,13.024488519072099
330,63.42033868,10.40112524,80.26752478318355,-33.70845966506826
481,63.42139033,10.39948996,197.4969108026085,-115.37606498260739
585,63.42178817,10.39904356,241.84504355128692,-137.66818004223688
687,63.42187653,10.39982462,251.6930983732348,-98.66086820164168
845,63.42124938,10.40314211,181.78382724207307,67.01923935887012
1458,63.41985377,10.40482967,26.217986049734495,151.3068075404108
1619,63.41825707,10.40603748,-151.76278399347567,211.64202353324026
1938,63.4162722,10.40852726,-373.00559724697666,336.0229428890043
2137,63.41587118,10.41136432,-417.68927026774844,477.74278500242684
2307,63.41436599,10.41157644,-585.4711447372038,488.36407988998235
2536,63.41327719,10.41102732,-706.8436864898991,460.9508024259544
2777,63.41304945,10.4059794,-732.2562333257945,208.7789520971175
3092,63.41268251,10.40094324,-773.1655321444757,-42.80961657335507
3336,63.41301623,10.39911321,-735.9632591730565,-134.23078950733546
3560,63.41531776,10.39815223,-479.40945377794264,-182.22326245184888
3887,63.41825483,10.39671977,-152.0094146555216,-253.7520785185891
3992,63.4193817,10.39613122,-26.394724338965673,-283.13742583175406
4119,63.42077814,10.39544715,129.2697069421265,-317.28807345758594
4193,63.42155532,10.39504053,215.90408572320305,-337.58670396595943
4396,63.42208706,10.39566266,275.17405317945634,-306.5109071900764
4650,63.42156278,10.3985648,216.72192311339083,-161.57925754844308
4725,63.42135334,10.39947325,193.37366337678893,-116.21074235874063
4861,63.4201816,10.40119296,62.757776184557954,-30.326442445673514
4946,63.41976134,10.40111201,15.911417613623327,-34.36990526295742
5040,63.41953978,10.40148267,-8.786028856625167,-15.857546424365317
5068,63.41958969,10.4016749,-3.2225926022143634,-6.256602792931621
